from_stop_id,to_stop_id,from_stop_name,to_stop_name
AG18,AG17,AMPANG,CAHAYA
AG17,AG16,CAHAYA,CEMPAKA
AG16,AG15,CEMPAKA,PANDAN INDAH
AG15,AG14,PANDAN INDAH,PANDAN JAYA
AG14,AG13,PANDAN JAYA,MALURI
AG13,AG12,MALURI,MIHARJA
AG12,AG11,MIHARJA,CHAN SOW LIN
AG11,AG10,CHAN SOW LIN,PUDU
AG10,AG9,PUDU,HANG TUAH
AG9,AG8,HANG TUAH,PLAZA RAKYAT
AG8,AG7,PLAZA RAKYAT,MASJID JAMEK
AG7,AG6,MASJID JAMEK,BANDARAYA
AG6,AG5,BANDARAYA,SULTAN ISMAIL
AG5,AG4,SULTAN ISMAIL,PWTC
AG4,AG3,PWTC,TITIWANGSA
AG3,AG2,TITIWANGSA,SENTUL
AG2,AG1,SENTUL,SENTUL TIMUR
AG1,AG2,SENTUL TIMUR,SENTUL
AG2,AG3,SENTUL,TITIWANGSA
AG3,AG4,TITIWANGSA,PWTC
AG4,AG5,PWTC,SULTAN ISMAIL
AG5,AG6,SULTAN ISMAIL,BANDARAYA
AG6,AG7,BANDARAYA,MASJID JAMEK
AG7,AG8,MASJID JAMEK,PLAZA RAKYAT
AG8,AG9,PLAZA RAKYAT,HANG TUAH
AG9,AG10,HANG TUAH,PUDU
AG10,AG11,PUDU,CHAN SOW LIN
AG11,AG12,CHAN SOW LIN,MIHARJA
AG12,AG13,MIHARJA,MALURI
AG13,AG14,MALURI,PANDAN JAYA
AG14,AG15,PANDAN JAYA,PANDAN INDAH
AG15,AG16,PANDAN INDAH,CEMPAKA
AG16,AG17,CEMPAKA,CAHAYA
AG17,AG18,CAHAYA,AMPANG
AG18,AG17,AMPANG,CAHAYA
AG17,AG16,CAHAYA,CEMPAKA
AG16,AG15,CEMPAKA,PANDAN INDAH
AG15,AG14,PANDAN INDAH,PANDAN JAYA
AG14,AG13,PANDAN JAYA,MALURI
AG13,AG12,MALURI,MIHARJA
AG12,AG11,MIHARJA,CHAN SOW LIN
AG11,AG10,CHAN SOW LIN,PUDU
AG10,AG9,PUDU,HANG TUAH
AG9,AG8,HANG TUAH,PLAZA RAKYAT
AG8,AG7,PLAZA RAKYAT,MASJID JAMEK
AG7,AG6,MASJID JAMEK,BANDARAYA
AG6,AG5,BANDARAYA,SULTAN ISMAIL
AG5,AG4,SULTAN ISMAIL,PWTC
AG4,AG3,PWTC,TITIWANGSA
AG3,AG2,TITIWANGSA,SENTUL
AG2,AG1,SENTUL,SENTUL TIMUR
AG1,AG2,SENTUL TIMUR,SENTUL
AG2,AG3,SENTUL,TITIWANGSA
AG3,AG4,TITIWANGSA,PWTC
AG4,AG5,PWTC,SULTAN ISMAIL
AG5,AG6,SULTAN ISMAIL,BANDARAYA
AG6,AG7,BANDARAYA,MASJID JAMEK
AG7,AG8,MASJID JAMEK,PLAZA RAKYAT
AG8,AG9,PLAZA RAKYAT,HANG TUAH
AG9,AG10,HANG TUAH,PUDU
AG10,AG11,PUDU,CHAN SOW LIN
AG11,AG12,CHAN SOW LIN,MIHARJA
AG12,AG13,MIHARJA,MALURI
AG13,AG14,MALURI,PANDAN JAYA
AG14,AG15,PANDAN JAYA,PANDAN INDAH
AG15,AG16,PANDAN INDAH,CEMPAKA
AG16,AG17,CEMPAKA,CAHAYA
AG17,AG18,CAHAYA,AMPANG
AG18,AG17,AMPANG,CAHAYA
AG17,AG16,CAHAYA,CEMPAKA
AG16,AG15,CEMPAKA,PANDAN INDAH
AG15,AG14,PANDAN INDAH,PANDAN JAYA
AG14,AG13,PANDAN JAYA,MALURI
AG13,AG12,MALURI,MIHARJA
AG12,AG11,MIHARJA,CHAN SOW LIN
AG11,AG10,CHAN SOW LIN,PUDU
AG10,AG9,PUDU,HANG TUAH
AG9,AG8,HANG TUAH,PLAZA RAKYAT
AG8,AG7,PLAZA RAKYAT,MASJID JAMEK
AG7,AG6,MASJID JAMEK,BANDARAYA
AG6,AG5,BANDARAYA,SULTAN ISMAIL
AG5,AG4,SULTAN ISMAIL,PWTC
AG4,AG3,PWTC,TITIWANGSA
AG3,AG2,TITIWANGSA,SENTUL
AG2,AG1,SENTUL,SENTUL TIMUR
AG1,AG2,SENTUL TIMUR,SENTUL
AG2,AG3,SENTUL,TITIWANGSA
AG3,AG4,TITIWANGSA,PWTC
AG4,AG5,PWTC,SULTAN ISMAIL
AG5,AG6,SULTAN ISMAIL,BANDARAYA
AG6,AG7,BANDARAYA,MASJID JAMEK
AG7,AG8,MASJID JAMEK,PLAZA RAKYAT
AG8,AG9,PLAZA RAKYAT,HANG TUAH
AG9,AG10,HANG TUAH,PUDU
AG10,AG11,PUDU,CHAN SOW LIN
AG11,AG12,CHAN SOW LIN,MIHARJA
AG12,AG13,MIHARJA,MALURI
AG13,AG14,MALURI,PANDAN JAYA
AG14,AG15,PANDAN JAYA,PANDAN INDAH
AG15,AG16,PANDAN INDAH,CEMPAKA
AG16,AG17,CEMPAKA,CAHAYA
AG17,AG18,CAHAYA,AMPANG
BRT1,BRT2,SUNWAY-SETIA JAYA,MENTARI
BRT2,BRT3,MENTARI,SUNWAY LAGOON 
BRT3,BRT4,SUNWAY LAGOON ,SUNMED
BRT4,BRT5,SUNMED,SunU-Monash
BRT5,BRT6,SunU-Monash,SOUTH QUAY-USJ 1
BRT6,BRT7,SOUTH QUAY-USJ 1,USJ7
BRT7,BRT6,USJ7,SOUTH QUAY-USJ 1
BRT6,BRT5,SOUTH QUAY-USJ 1,SunU-Monash
BRT5,BRT4,SunU-Monash,SUNMED
BRT4,BRT3,SUNMED,SUNWAY LAGOON 
BRT3,BRT2,SUNWAY LAGOON ,MENTARI
BRT2,BRT1,MENTARI,SUNWAY-SETIA JAYA
BRT1,BRT2,SUNWAY-SETIA JAYA,MENTARI
BRT2,BRT3,MENTARI,SUNWAY LAGOON 
BRT3,BRT4,SUNWAY LAGOON ,SUNMED
BRT4,BRT5,SUNMED,SunU-Monash
BRT5,BRT6,SunU-Monash,SOUTH QUAY-USJ 1
BRT6,BRT7,SOUTH QUAY-USJ 1,USJ7
BRT7,BRT6,USJ7,SOUTH QUAY-USJ 1
BRT6,BRT5,SOUTH QUAY-USJ 1,SunU-Monash
BRT5,BRT4,SunU-Monash,SUNMED
BRT4,BRT3,SUNMED,SUNWAY LAGOON 
BRT3,BRT2,SUNWAY LAGOON ,MENTARI
BRT2,BRT1,MENTARI,SUNWAY-SETIA JAYA
BRT1,BRT2,SUNWAY-SETIA JAYA,MENTARI
BRT2,BRT3,MENTARI,SUNWAY LAGOON 
BRT3,BRT4,SUNWAY LAGOON ,SUNMED
BRT4,BRT5,SUNMED,SunU-Monash
BRT5,BRT6,SunU-Monash,SOUTH QUAY-USJ 1
BRT6,BRT7,SOUTH QUAY-USJ 1,USJ7
BRT7,BRT6,USJ7,SOUTH QUAY-USJ 1
BRT6,BRT5,SOUTH QUAY-USJ 1,SunU-Monash
BRT5,BRT4,SunU-Monash,SUNMED
BRT4,BRT3,SUNMED,SUNWAY LAGOON 
BRT3,BRT2,SUNWAY LAGOON ,MENTARI
BRT2,BRT1,MENTARI,SUNWAY-SETIA JAYA
KG04,KG05,KWASA DAMANSARA,KWASA SENTRAL
KG05,KG06,KWASA SENTRAL,KOTA DAMANSARA
KG06,KG07,KOTA DAMANSARA,SURIAN
KG07,KG08,SURIAN,MUTIARA DAMANSARA
KG08,KG09,MUTIARA DAMANSARA,BANDAR UTAMA
