from_station,to_station,weight
AMPANG,CAHAYA,300
CEMPAKA,CAHAYA,300
CAHAYA,CEMPAKA,300
PANDAN INDAH,CEMPAKA,300
CAHAYA,AMPANG,300
CEMPAKA,PANDAN INDAH,300
PANDAN JAYA,PANDAN INDAH,300
PANDAN INDAH,PANDAN JAYA,300
MALURI,PANDAN JAYA,300
PANDAN JAYA,MALURI,300
MIHARJA,MALURI,300
MALURI,MIHARJA,300
CHAN SOW LIN,MIHARJA,300
MIHARJA,CHAN SOW LIN,300
PUDU,CHAN SOW LIN,300
CHAN SOW LIN,PUDU,300
HANG TUAH,PUDU,300
PUDU,HANG TUAH,300
PLAZA RAKYAT,HANG TUAH,300
HANG TUAH,PLAZA RAKYAT,300
MASJID JAMEK,PLAZA RAKYAT,300
PLAZA RAKYAT,MASJID JAMEK,300
BANDARAYA,MASJID JAMEK,300
MASJID JAMEK,BANDARAYA,300
SULTAN ISMAIL,BANDARAYA,300
BANDARAYA,SULTAN ISMAIL,300
PWTC,SULTAN ISMAIL,300
SULTAN ISMAIL,PWTC,300
TITIWANGSA,PWTC,300
PWTC,TITIWANGSA,300
SENTUL,TITIWANGSA,300
TITIWANGSA,SENTUL,300
SENTUL TIMUR,SENTUL,300
SENTUL,SENTUL TIMUR,300
SUNWAY-SETIA JAYA,MENTARI,480
SUNWAY-SETIA JAYA,MENTARI,360
SUNWAY LAGOON ,MENTARI,480
SUNWAY LAGOON ,MENTARI,360
MENTARI,SUNWAY LAGOON ,480
MENTARI,SUNWAY LAGOON ,360
SUNMED,SUNWAY LAGOON ,480
SUNMED,SUNWAY LAGOON ,360
MENTARI,SUNWAY-SETIA JAYA,480
MENTARI,SUNWAY-SETIA JAYA,360
SUNWAY LAGOON ,SUNMED,480
SUNWAY LAGOON ,SUNMED,360
SunU-Monash,SUNMED,480
SunU-Monash,SUNMED,360
SUNMED,SunU-Monash,480
SUNMED,SunU-Monash,360
SOUTH QUAY-USJ 1,SunU-Monash,480
SOUTH QUAY-USJ 1,SunU-Monash,360
SunU-Monash,SOUTH QUAY-USJ 1,480
SunU-Monash,SOUTH QUAY-USJ 1,360
USJ7,SOUTH QUAY-USJ 1,480
