stop_name,stop_sequence,weight
AMPANG,1,18.0
CAHAYA,2,18.0
CEMPAKA,3,18.0
PANDAN INDAH,4,18.0
PANDAN JAYA,5,18.0
MALURI,6,18.0
MIHARJA,7,18.0
CHAN SOW LIN,8,18.0
PUDU,9,18.0
HANG TUAH,10,18.0
PLAZA RAKYAT,11,18.0
MASJID JAMEK,12,18.0
BANDARAYA,13,18.0
SULTAN ISMAIL,14,18.0
PWTC,15,18.0
TITIWANGSA,16,18.0
SENTUL,17,18.0
SENTUL TIMUR,18,18.0
SENTUL TIMUR,1,18.0
SENTUL,2,18.0
TITIWANGSA,3,18.0
PWTC,4,18.0
SULTAN ISMAIL,5,18.0
BANDARAYA,6,18.0
MASJID JAMEK,7,18.0
PLAZA RAKYAT,8,18.0
HANG TUAH,9,18.0
PUDU,10,18.0
CHAN SOW LIN,11,18.0
MIHARJA,12,18.0
MALURI,13,18.0
PANDAN JAYA,14,18.0
PANDAN INDAH,15,18.0
CEMPAKA,16,18.0
CAHAYA,17,18.0
AMPANG,18,18.0
AMPANG,1,18.0
CAHAYA,2,18.0
CEMPAKA,3,18.0
PANDAN INDAH,4,18.0
PANDAN JAYA,5,18.0
MALURI,6,18.0
MIHARJA,7,18.0
CHAN SOW LIN,8,18.0
PUDU,9,18.0
HANG TUAH,10,18.0
PLAZA RAKYAT,11,18.0
MASJID JAMEK,12,18.0
BANDARAYA,13,18.0
SULTAN ISMAIL,14,18.0
PWTC,15,18.0
TITIWANGSA,16,18.0
SENTUL,17,18.0
SENTUL TIMUR,18,18.0
SENTUL TIMUR,1,18.0
SENTUL,2,18.0
TITIWANGSA,3,18.0
PWTC,4,18.0
SULTAN ISMAIL,5,18.0
BANDARAYA,6,18.0
MASJID JAMEK,7,18.0
PLAZA RAKYAT,8,18.0
HANG TUAH,9,18.0
PUDU,10,18.0
CHAN SOW LIN,11,18.0
MIHARJA,12,18.0
MALURI,13,18.0
PANDAN JAYA,14,18.0
PANDAN INDAH,15,18.0
CEMPAKA,16,18.0
CAHAYA,17,18.0
AMPANG,18,18.0
AMPANG,1,18.0
CAHAYA,2,18.0
CEMPAKA,3,18.0
PANDAN INDAH,4,18.0
PANDAN JAYA,5,18.0
MALURI,6,18.0
MIHARJA,7,18.0
CHAN SOW LIN,8,18.0
PUDU,9,18.0
HANG TUAH,10,18.0
PLAZA RAKYAT,11,18.0
MASJID JAMEK,12,18.0
BANDARAYA,13,18.0
SULTAN ISMAIL,14,18.0
PWTC,15,18.0
TITIWANGSA,16,18.0
SENTUL,17,18.0
SENTUL TIMUR,18,18.0
SENTUL TIMUR,1,18.0
SENTUL,2,18.0
TITIWANGSA,3,18.0
PWTC,4,18.0
SULTAN ISMAIL,5,18.0
BANDARAYA,6,18.0
MASJID JAMEK,7,18.0
PLAZA RAKYAT,8,18.0
HANG TUAH,9,18.0
PUDU,10,18.0
CHAN SOW LIN,11,18.0
MIHARJA,12,18.0
MALURI,13,18.0
PANDAN JAYA,14,18.0
PANDAN INDAH,15,18.0
CEMPAKA,16,18.0
CAHAYA,17,18.0
AMPANG,18,18.0
SUNWAY-SETIA JAYA,1,25.0
MENTARI,2,25.0
SUNWAY LAGOON ,3,25.0
SUNMED,4,25.0
SunU-Monash,5,25.0
SOUTH QUAY-USJ 1,6,25.0
USJ7,7,25.0
USJ7,1,25.0
SOUTH QUAY-USJ 1,2,25.0
SunU-Monash,3,25.0
SUNMED,4,25.0
SUNWAY LAGOON ,5,25.0
MENTARI,6,25.0
SUNWAY-SETIA JAYA,7,25.0
SUNWAY-SETIA JAYA,1,25.0
MENTARI,2,25.0
SUNWAY LAGOON ,3,25.0
SUNMED,4,25.0
SunU-Monash,5,25.0
SOUTH QUAY-USJ 1,6,25.0
USJ7,7,25.0
USJ7,1,25.0
