stop_name,stop_sequence,headway_secs
AMPANG,1,180
AMPANG,1,300
AMPANG,1,180
AMPANG,1,300
CAHAYA,2,180
CAHAYA,2,300
CAHAYA,2,180
CAHAYA,2,300
CEMPAKA,3,180
CEMPAKA,3,300
CEMPAKA,3,180
CEMPAKA,3,300
PANDAN INDAH,4,180
PANDAN INDAH,4,300
PANDAN INDAH,4,180
PANDAN INDAH,4,300
PANDAN JAYA,5,180
PANDAN JAYA,5,300
PANDAN JAYA,5,180
PANDAN JAYA,5,300
MALURI,6,180
MALURI,6,300
MALURI,6,180
MALURI,6,300
MIHARJA,7,180
MIHARJA,7,300
MIHARJA,7,180
MIHARJA,7,300
CHAN SOW LIN,8,180
CHAN SOW LIN,8,300
CHAN SOW LIN,8,180
CHAN SOW LIN,8,300
PUDU,9,180
PUDU,9,300
PUDU,9,180
PUDU,9,300
HANG TUAH,10,180
HANG TUAH,10,300
HANG TUAH,10,180
HANG TUAH,10,300
PLAZA RAKYAT,11,180
PLAZA RAKYAT,11,300
PLAZA RAKYAT,11,180
PLAZA RAKYAT,11,300
MASJID JAMEK,12,180
MASJID JAMEK,12,300
MASJID JAMEK,12,180
MASJID JAMEK,12,300
BANDARAYA,13,180
BANDARAYA,13,300
BANDARAYA,13,180
BANDARAYA,13,300
SULTAN ISMAIL,14,180
SULTAN ISMAIL,14,300
SULTAN ISMAIL,14,180
SULTAN ISMAIL,14,300
PWTC,15,180
PWTC,15,300
PWTC,15,180
PWTC,15,300
TITIWANGSA,16,180
TITIWANGSA,16,300
TITIWANGSA,16,180
TITIWANGSA,16,300
SENTUL,17,180
SENTUL,17,300
SENTUL,17,180
SENTUL,17,300
SENTUL TIMUR,18,180
SENTUL TIMUR,18,300
SENTUL TIMUR,18,180
SENTUL TIMUR,18,300
AMPANG,1,300
CAHAYA,2,300
CEMPAKA,3,300
PANDAN INDAH,4,300
PANDAN JAYA,5,300
MALURI,6,300
MIHARJA,7,300
CHAN SOW LIN,8,300
PUDU,9,300
HANG TUAH,10,300
PLAZA RAKYAT,11,300
MASJID JAMEK,12,300
BANDARAYA,13,300
SULTAN ISMAIL,14,300
PWTC,15,300
TITIWANGSA,16,300
SENTUL,17,300
SENTUL TIMUR,18,300
AMPANG,1,300
CAHAYA,2,300
CEMPAKA,3,300
PANDAN INDAH,4,300
PANDAN JAYA,5,300
MALURI,6,300
MIHARJA,7,300
CHAN SOW LIN,8,300
PUDU,9,300
HANG TUAH,10,300
PLAZA RAKYAT,11,300
MASJID JAMEK,12,300
BANDARAYA,13,300
SULTAN ISMAIL,14,300
PWTC,15,300
TITIWANGSA,16,300
SENTUL,17,300
SENTUL TIMUR,18,300
SENTUL TIMUR,1,180
SENTUL TIMUR,1,300
SENTUL TIMUR,1,180
SENTUL TIMUR,1,300
SENTUL,2,180
SENTUL,2,300
SENTUL,2,180
SENTUL,2,300
TITIWANGSA,3,180
TITIWANGSA,3,300
TITIWANGSA,3,180
TITIWANGSA,3,300
PWTC,4,180
PWTC,4,300
PWTC,4,180
PWTC,4,300
SULTAN ISMAIL,5,180
SULTAN ISMAIL,5,300
SULTAN ISMAIL,5,180
